,name_food,calories,link
231,Ensaladilla con pulpo,170,https://queapetito.com/receta-ensaladilla-pulpo/
232,Ensalada de sandía y anchoas,300,https://queapetito.com/receta-ensalada-sandia-anchoas/
233,Ensalada de hojas de roble y nueces,210,https://queapetito.com/receta-ensalada-hojas-roble-nueces/
234,Ensalada de pulpo y aguacate,250,https://queapetito.com/receta-ensalada-pulpo-aguacate/
235,Carpaccio de melón,180,https://queapetito.com/receta-carpaccio-melon/
236,Ensalada de aguacate y mango,180,https://queapetito.com/receta-ensalada-aguacate-mango/
237,Ensalada de patata y aguacate,187,https://queapetito.com/receta-ensalada-patata-aguacate/
238,Ensalada nicoise,215,https://queapetito.com/receta-ensalada-nicoise/
239,Ensaladilla rusa para el verano,270,https://queapetito.com/receta-ensaladilla-rusa/
240,Ensalada arroz con salsa rosa,490,https://queapetito.com/receta-ensalada-arroz-salsa-rosa/
241,Ensalada de pasta con queso de cabra,250,https://queapetito.com/receta-ensalada-pasta-queso-cabra/
242,Ensalada de Patatas y Gambas,255,https://queapetito.com/receta-ensalada-patatas-gambas/
243,Ensalada Templada de Gulas y Gambas,233,https://queapetito.com/receta-ensalada-templada-gulas-gambas/
244,Ensalada de Pasta con Atún,400,https://queapetito.com/receta-ensalada-pasta-atun/
245,Ensalada de pollo al curry,277,https://queapetito.com/receta-ensalada-pollo-curry/
246,Ensalada de Pollo y Piña,245,https://queapetito.com/receta-ensalada-pollo-pina/
247,Ensalada Alemana de Patatas,214,https://queapetito.com/receta-ensalada-alemana-patatas/
248,Ensalada Marinera,151,https://queapetito.com/receta-ensalada-marinera/
249,Ensalada china,50,https://queapetito.com/receta-ensalada-china/
250,Ensalada pazanella,415,https://queapetito.com/receta-ensalada-pazanella/
251,Ensalada de manzana,320,https://queapetito.com/receta-ensalada-manzana/
252,Ensalada Chilena,89,https://queapetito.com/receta-ensalada-chilena/
253,Ensalada agridulce con piña,200,https://queapetito.com/receta-ensalada-agridulce-pina/
254,Ensalada de Endivias con Atún,276,https://queapetito.com/receta-ensalada-endivias-atun/
255,Ensalada japonesa de pepino,50,https://queapetito.com/receta-ensalada-japonesa-pepino/
256,Ensalada con Brotes de Soja,240,https://queapetito.com/receta-ensalada-brotes-soja/
257,Ensalada de burrata,263,https://queapetito.com/receta-ensalada-burrata/
258,Ensalada de melón y queso,410,https://queapetito.com/receta-ensalada-melon-queso/
259,Ensalada de espinacas con queso de cabra,350,https://queapetito.com/receta-ensalada-espinacas-queso-cabra/
260,Ensalada César,44,https://queapetito.com/receta-ensalada-cesar/
261,Carpaccio de tomate con parmesano,255,https://queapetito.com/receta-carpaccio-tomate-parmesano/
262,Ensalada israelí,160,https://queapetito.com/receta-ensalada-israeli/
263,Ensalada de garbanzos,190,https://queapetito.com/ensalada-garbanzos/
264,Ensalada de col lombarda,150,https://queapetito.com/receta-ensalada-col-lombarda/
265,Ensalada diurética de frutas,190,https://queapetito.com/receta-ensalada-diuretica-frutas/
266,Ensalada de arroz con aguacate,320,https://queapetito.com/receta-ensalada-arroz-aguacate/
267,Ensalada de mango y pollo,350,https://queapetito.com/receta-ensalada-mango-pollo/
268,Salpicón de pollo,350,https://queapetito.com/receta-salpicon-pollo/
269,Ensalada de cogollos con anchoas,198,https://queapetito.com/receta-ensalada-cogollos-anchoas/
270,Tabulé de quinoa,230,https://queapetito.com/receta-tabule-quinoa/
271,Ensaladilla con bacalao,607,https://queapetito.com/receta-ensaladilla-bacalao/
272,Ensalada de Algas Wakame,30,https://queapetito.com/receta-ensalada-algas-wakame/
273,Ensalada de rúcula y queso parmesano,120,https://queapetito.com/receta-ensalada-rucula-queso-parmesano/
274,Ensaladilla de gambas,350,https://queapetito.com/receta-ensaladilla-gambas/
275,Ensalada de apio y lechuga,116,https://queapetito.com/receta-ensalada-apio-lechuga/
276,Ensalada Louisiana,335,https://queapetito.com/receta-ensalada-louisiana/
277,Ensalada de cítricos,100,https://queapetito.com/receta-ensalada-citricos/
